date,grsr,keyword,geo,time,gprop,category,period,weight,grsr_n,mx,categories,categories2,selected,pts1a,pts2,days1a,days2,grp,post1a,post2
2019-10-20,73,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,69.00905141202026,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,31,20,0,1,1
2019-10-27,63,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,59.55575669804488,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,32,21,0,1,1
2019-01-06,51,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,48.837531486146105,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,-10,-21,0,0,0
2019-01-13,69,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,66.07430730478589,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,-9,-20,0,0,0
2019-01-20,51,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,48.837531486146105,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,-8,-19,0,0,0
2019-01-27,73,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,69.9047019311503,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,-7,-18,0,0,0
2019-02-03,51,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,48.837531486146105,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,-6,-17,0,0,0
2019-02-10,75,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,71.81989924433249,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,-5,-16,0,0,0
2019-02-17,40,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,38.303946263643994,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,-4,-15,0,0,0
2019-02-24,54,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,51.71032745591939,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,-3,-14,0,0,0
2019-03-03,28,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,26.8127623845508,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,-2,-13,0,0,0
2019-03-10,41,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,39.261544920235096,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,-1,-12,0,0,0
2019-03-17,49,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,46.9223341729639,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,0,-11,0,0,0
2019-03-24,58,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,55.540722082283786,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,1,-10,0,1,0
2019-03-31,61,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,58.41351805205709,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,2,-9,0,1,0
2019-04-07,46,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,44.04953820319059,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,3,-8,0,1,0
2019-04-14,37,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,35.4311502938707,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,4,-7,0,1,0
2019-04-21,37,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,35.4311502938707,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,5,-6,0,1,0
2019-04-28,42,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,40.2191435768262,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,6,-5,0,1,0
2019-05-05,37,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,35.4311502938707,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,7,-4,0,1,0
2019-05-12,59,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,56.498320738874895,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,8,-3,0,1,0
2019-05-19,32,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,30.643157010915196,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,9,-2,0,1,0
2019-05-26,24,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,22.9823677581864,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,10,-1,0,1,0
2019-06-02,39,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,37.3463476070529,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,11,0,0,1,0
2019-06-09,46,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,44.04953820319059,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,12,1,0,1,1
2019-06-16,54,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,51.71032745591939,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,13,2,0,1,1
2019-06-23,70,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,67.031905961377,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,14,3,0,1,1
2019-06-30,72,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,68.9471032745592,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,15,4,0,1,1
2019-07-07,72,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,68.9471032745592,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,16,5,0,1,1
2019-07-14,82,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,78.52308984047019,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,17,6,0,1,1
2019-07-21,65,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,62.243912678421495,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,18,7,0,1,1
2019-07-28,81,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,77.5654911838791,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,19,8,0,1,1
2019-08-04,35,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,33.5159529806885,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,20,9,0,1,1
2019-08-11,81,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,77.5654911838791,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,21,10,0,1,1
2019-08-18,44,lowongan kurir+lowongan kerja kurir,ID,2019-01-01 2019-10-31,web,0,2019,0.8490167484201688,42.1343408900084,88.66102125106717,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,22,11,0,1,1
