date,grsr,keyword,geo,time,gprop,category,categories,categories2,selected,days1a,days1b,days2,post1a,post1b,post2
2020-03-15,25,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,0,-4,-12,0,0,0
2020-03-22,16,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,1,-3,-11,1,0,0
2020-03-29,13,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,2,-2,-10,1,0,0
2020-04-05,14,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,3,-1,-9,1,0,0
2020-04-12,13,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,4,0,-8,1,0,0
2020-04-19,12,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,5,1,-7,1,1,0
2020-04-26,10,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,6,2,-6,1,1,0
2020-05-03,10,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,7,3,-5,1,1,0
2020-05-10,9,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,8,4,-4,1,1,0
2020-05-17,6,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,9,5,-3,1,1,0
2020-05-24,12,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,10,6,-2,1,1,0
2020-05-31,18,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,11,7,-1,1,1,0
2020-06-07,20,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,12,8,0,1,1,0
2020-06-14,20,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,13,9,1,1,1,1
2020-06-21,21,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,14,10,2,1,1,1
2020-06-28,20,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,15,11,3,1,1,1
2020-07-05,19,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,16,12,4,1,1,1
2020-07-12,20,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,17,13,5,1,1,1
2020-07-19,19,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,18,14,6,1,1,1
2020-07-26,15,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,19,15,7,1,1,1
2020-08-02,15,"""daftar gojek""+""daftar grab""",ID,2020-01-01 2020-10-31,web,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,20,16,8,1,1,1
