date,grsr,keyword,geo,time,gprop,category,categories,categories2,selected,days1a,days2
2020-03-22,3,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,1,-11
2020-03-29,7,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,2,-10
2020-04-05,8,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,3,-9
2020-04-12,10,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,4,-8
2020-04-19,10,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,5,-7
2020-04-26,10,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,6,-6
2020-05-03,10,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,7,-5
2020-05-10,10,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,8,-4
2020-05-17,6,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,9,-3
2020-05-24,9,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,10,-2
2020-05-31,13,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,11,-1
2020-06-07,14,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,12,0
2020-06-14,15,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,13,1
2020-06-21,17,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,14,2
2020-06-28,15,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,15,3
2020-07-05,16,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,16,4
2020-07-12,18,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,17,5
2020-07-19,11,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,18,6
2020-07-26,10,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,19,7
2020-08-02,11,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,20,8
2020-08-09,8,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,21,9
2020-08-16,9,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,22,10
