date,grsr,keyword,geo,time,gprop,category,period,weight,grsr_n,mx,categories,categories2,selected,pts1a,pts1b,pts2,days1a,days1b,days2,grp,post1a,post1b,post2
2019-03-24,83,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,70.0976084538376,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,1,-2,-10,0,1,0,0
2019-03-31,75,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,63.34121245828699,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,2,-1,-9,0,1,0,0
2019-04-07,80,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,67.56395995550612,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,3,0,-8,0,1,0,0
2019-04-14,54,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,45.60567296996664,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,4,1,-7,0,1,1,0
2019-04-21,73,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,61.65211345939934,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,5,2,-6,0,1,1,0
2019-04-28,69,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,58.27391546162403,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,6,3,-5,0,1,1,0
2019-05-05,72,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,60.80756395995552,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,7,4,-4,0,1,1,0
2019-05-12,71,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,59.96301446051169,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,8,5,-3,0,1,1,0
2019-05-19,63,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,53.206618464961075,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,9,6,-2,0,1,1,0
2019-05-26,48,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,40.53837597330367,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,10,7,-1,0,1,1,0
2019-06-02,38,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,32.09288097886541,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,11,8,0,0,1,1,0
